path,reading,additional_info
images/1_せい.webp,せい,2文字指定
images/2_とう.webp,とう,
images/3_か.webp,か,
images/4_こう.webp,こう,
images/5_かい.webp,かい,
images/6_ぜん.webp,ぜん,
images/7_ろく.webp,ろく,
images/8_ふ.webp,ふ,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/9_てん.webp,てん,
images/10_しょく.webp,しょく,
"images/11_えい,ふん.webp",えい、ふん,
"images/12_そう,す.webp",そう、す,
images/13_か.webp,か,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/14_り.webp,り,
images/15_とう.webp,とう,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
"images/16_きん,こん.webp",きん、こん,
"images/17_せき,しゃく.webp",せき、しゃく,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/18_ばく.webp,ばく,
"images/19_そ,ぞ.webp",そ、ぞ,
images/20_ほう.webp,ほう,
images/21_ほつ.webp,ほつ,
images/22_こう.webp,こう,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/23_しん.webp,しん,
images/24_い.webp,い,
images/25_しょう.webp,しょう,
images/26_こ.webp,こ,
images/27_たい.webp,たい,
"images/28_ぎょく,ほう.webp",ぎょく、ほう,
images/29_きゅう.webp,きゅう,
images/30_じゃく.webp,じゃく,
images/31_るい.webp,るい,
images/32_けい.webp,けい,
images/33_うん.webp,うん,
images/34_ろう.webp,ろう,
images/35_ご.webp,ご,
images/36_やく.webp,やく,
"images/37_りゅう,りょう.webp",りゅう、りょう,
"images/38_ひょう,きゅう.webp",ひょう、きゅう,3文字指定
images/39_えい.webp,えい,
"images/40_に,じ.webp",に、じ,
images/41_びょう.webp,びょう,
images/42_へつ.webp,へつ,
images/43_かん.webp,かん,
images/44_ぼん.webp,ぼん,
"images/45_ぶ,む.webp",ぶ、む,
images/46_ゆう.webp,ゆう,
images/47_りょう.webp,りょう,
images/48_かん.webp,かん,
"images/49_さつ,き.webp",さつ、き,
images/50_さ.webp,さ,
images/51_い.webp,い,
images/52_きょ.webp,きょ,
images/53_けつ.webp,けつ,
images/54_さつ.webp,さつ,
images/55_ぎょう.webp,ぎょう,
images/56_お.webp,お,
images/57_きん.webp,きん,↑訛字の元の漢字。環境依存文字により表示できない可能性があるため記載。
images/58_もく.webp,もく,
images/59_せき.webp,せき,
images/60_どう.webp,どう,
images/61_こう.webp,こう,
images/62_えん.webp,えん,
"images/63_りゅう,り.webp",りゅう、り,
"images/64_しき,さつ.webp",しき、さつ,
images/65_きょう.webp,きょう,
images/66_こう.webp,こう,
images/67_しん.webp,しん,
images/68_こう.webp,こう,
images/69_わつ.webp,わつ,
images/70_しん.webp,しん,
images/71_よる.webp,よる,西夏文字　2文字指定(字義)
